cluster,media_viewers,pico_viewers,desvio_viewers,crescimento_medio,volatilidade,tempo_horas,quantidade_categorias
0,773.8520542762271,1294.3167701863354,232.30937703622592,3.265892944433998,160.6098555765806,10.200065380843412,1.7591533180778032
1,111925.55327868852,436217.0,122012.78858327933,3216.4666666666667,52154.308526972934,9.625,2.0
2,21017.302788078858,41693.71264367816,8164.539774081463,352.31289171143385,5417.179426049082,20.5,3.103448275862069
