data_hora	user_name	title	id	viewer_count	language	game_id
24/05/2026 00:05:52	MidnightSumo	LIVE Sumo w/ Commentary! | FINAL Day of the May Grand Sumo tourney in Tokyo, Japan! | College and HS sumo season begins this off-season!	318672990814	4104	en	509658
24/05/2026 00:05:52	cyr	BREAKING ⚠️ @MISTERARTHER IS COMING OVER TO RATE MY STREAM SETUP & TECH ROOM. WILL I PASS?!	318673991134	4099	en	509658
24/05/2026 00:05:52	henyathegenius	📛【forza horizon 6】I HAVE A DRIVER LICENSE DAYO! / !gamersupps !tts !youtube !discord !game !fanbox	315932192881	3855	en	1991115310
24/05/2026 00:05:52	owBRAIN	🏆🔥 !DROPS OWCS - الحححق اقوى جوائز 4 بكجات نااادرة حصريه - يوم حسم ميجر الياباااان اوفرواتش تويستد	315690554604	3790	ar	515025
24/05/2026 00:05:52	喬希啊	還沒睡覺 早上爬山 等等枕頭山 o_o	315940036210	3663	zh	498592
24/05/2026 00:05:52	ManuuXO	🤯LIVE🤯VELOCE🤯GRAN GIORNO🤯LOCK IN🤯SIAMO QUI🤯DRAMA🤯NEWS🤯VIDEO🤯LOCK IN🤯#ad !surfshark🤯	317382705765	3396	it	624536948
24/05/2026 00:05:52	krokoboss	nachtwache | !Fortnite !bitpanda !prep !novaelite !knabekola ᵂᴱᴿᴮᵁᴺᴳ #EpicPartner	317453487718	3336	de	21779
24/05/2026 00:05:52	QuarterJade	HOWDY :D valo stack (rae syd john fire) @ 6:30 pm pst	317862554583	3335	en	516575
24/05/2026 00:05:52	Caedrel247	🔴24/7 @Caedrel VODS/YT - LEAGUE - COSTREAMS - REACT - VARIETY🔴	315565696849	3188	en	499973
24/05/2026 00:05:52	Faide	ranked	319386177113	3164	en	511224
24/05/2026 00:05:52	ZLaner	🔴Z AFTER DARK | PASSION SESSION | LOCK IN | RANK #69 RAIDER	319446259674	3091	en	464339927
24/05/2026 00:05:52	YoDa	CBLOW DIA 3 | MIBL 1x2 T1L | VOS 0x1 PIT | !KaBuM - !DiscKaBuM - !Absol (MD3)	318092770036	3004	pt	21779
24/05/2026 00:05:52	mooda	👃GRINDING LEAGUE👃JOIN UP👃 !discord !socials !newvid	317858434775	2914	en	21779
24/05/2026 00:05:52	FroggerOW	[OWCS DROPS] OWCS NEW HERO SOON? maybe.	315672276074	2903	en	515025
24/05/2026 00:05:52	Rekkles	🔴 KOREA DAY 19/40 🔴	317860567639	2804	en	21779
24/05/2026 00:05:52	Hungrybox	CREED V▫️feat. Hungrybox, RapMonster, Jmook, SluG, Aklo, Krudo, Dawson, Chem, 404Cray, and more!	318794878944	2757	en	16282
24/05/2026 00:05:52	vinixiste	🔥 IRL - COBERTURA OFICIAL 30PRAUM x GROOVE URBANO 🔥  !pix !dc !vods	316632730999	2735	pt	509658
