media_viewers	pico_viewers	desvio_viewers	frequencia	crescimento_medio	volatilidade	tempo_horas	quantidade_categorias
0.8479448344394284	0.2156339060239855	-0.1010009170118046	-0.47767920558880134	0.11902563227412513	-0.09917044787818709	-0.47767920558880134	0.6983190252951573
-0.2645250449280934	-0.17926472556458056	-0.1590317011622099	-0.7061362911383003	-0.055672029351410246	-0.20604933223658417	-0.7061362911383003	-0.4359432291543438
-0.2391306787503237	-0.16590636334911682	-0.14789759724199544	-0.6490220197509255	0.003049873715996611	-0.18793230797943622	-0.6490220197509255	-0.4359432291543438
-0.274750856999194	-0.18282695548870423	-0.1581107724191935	-0.3634506628140518	-0.03644759679958062	-0.20963897376763055	-0.3634506628140518	0.6983190252951573
0.20071867988046996	0.3022724266785646	0.3310005579873841	0.531339588921486	-0.05311733871551203	0.23320122539800803	0.531339588921486	-0.4359432291543438
-0.23022170260110292	-0.16730581081930826	-0.15695565486125834	-0.687098200675842	-0.05139022391941183	-0.2011657891649618	-0.687098200675842	-0.4359432291543438
-0.2617815343724323	-0.1773563881052286	-0.15157870728936654	-0.7251743816007586	0.07889899851139713	-0.19779308202496226	-0.7251743816007586	-0.4359432291543438
-0.28267005612036256	-0.18409918046160553	-0.15413092841136772	-0.687098200675842	-0.00367867767714376	-0.2020014707172984	-0.687098200675842	-0.4359432291543438
-0.19188823787165843	-0.1525480011336531	-0.14937023947439815	-0.5919077483635509	-0.0809550709498771	-0.18064107750283684	-0.5919077483635509	-0.4359432291543438
-0.05851618591103578	-0.0576400181552155	-0.05425696609154017	0.11250159874740447	-0.06694833682449924	-0.07392070729113395	0.11250159874740447	0.6983190252951573
-0.27124191559884997	-0.17977361555374108	-0.15485081966793043	-0.687098200675842	-0.0991017701616799	-0.20465821156888755	-0.687098200675842	0.13118789807040676
-0.24929383115356096	-0.16768747831117867	-0.13527522449067328	-0.7251743816007586	0.02751733332741613	-0.09133474074496384	-0.7251743816007586	0.13118789807040676
-0.27769217552595293	-0.1819363980076733	-0.15557518951189817	-0.3634506628140518	-0.034699921113050654	-0.20984195199035352	-0.3634506628140518	0.13118789807040676
-0.2932846038564032	-0.18918808035321077	-0.15974285809795588	-0.7061362911383003	-0.03854480762341658	-0.2109788243930226	-0.7061362911383003	-0.4359432291543438
-0.19891730112288677	-0.1393168614154795	-0.11499544842081522	-0.47767920558880134	0.07351615739688483	-0.1645325551251859	-0.47767920558880134	0.13118789807040676
-0.2117676522887708	-0.11972459683279935	-0.07051439165008892	-0.6680601102133839	-0.7388035017022433	-0.08556202354464519	-0.6680601102133839	-0.4359432291543438
-0.16632628779787784	-0.14109797637754132	-0.132761343999424	-0.7061362911383003	-0.23183773855363077	-0.1350084984901426	-0.7061362911383003	-0.4359432291543438
-0.2618183247438684	-0.16679692083014774	-0.13836383033776598	0.5884538603088607	-0.049813623528957685	-0.18988369747601486	0.5884538603088607	0.13118789807040676
