PCA1	PCA2
0.3461026851852177	-0.40175604208083515
-0.6185758639584766	-0.9853642589444523
-0.5604367971622055	-0.9241967841733688
-0.43744203790985997	-0.120212033439782
0.6081768793878887	0.4143067848339148
-0.5880123845370743	-0.9654395555315051
-0.588989007341525	-1.0242849802861131
-0.6102217922044909	-0.965481948218468
-0.530104144865054	-0.8483777341891596
-0.04159964747733748	0.4371120752061011
-0.574423152600503	-0.742574225807017
-0.48002438487753196	-0.8210329881007689
-0.4845651765827881	-0.33520542572388184
-0.636066406529659	-0.9836972455077723
-0.39606763542867623	-0.5090543516095275
-0.5784669735428851	-0.9057739644924602
-0.540046176830253	-0.9896308981311195
-0.20477397603819644	0.8716758019743552
-0.0928736074813957	0.16347006498951835
-0.5970100169343607	-0.7890002163654207
-0.3038375224901046	-0.859634809180638
-0.48549062639031554	-0.30599898974319
-0.32444488625365503	-0.11155001172395505
-0.4181278135118613	-0.37079349807170603
-0.5955632603266553	-0.9898323676971982
-0.5872019553017025	-0.8550351853104603
-0.5568191106763661	-0.9709764359052079
-0.527767205575602	-1.009548503272491
0.7009735400461949	-1.2042269920608006
-0.5499696680322134	-0.9468328932455099
0.02061807335680909	1.1566664759597098
0.29679118343671934	0.20466234841923153
1.9240472957170613	5.6835924552280686
-0.5977152950000254	-0.9405119699791104
-0.545715723948364	-0.9907408540289698
-0.3039488168217899	-0.46775841651042505
0.3240687499016474	1.6488968996456967
-0.5508133978767145	-1.0352931987595164
-0.5227764394165907	-0.7048034329414868
-0.49410051226448437	-0.6414394522907942
-0.663574690685886	-0.9734871754176
28.123370173078087	-3.7736558227702126
-0.46609943365269574	-1.0314734317687841
-0.26392036078130526	-0.0403510922260691
0.26252476776325234	2.570234987755365
1.2564238309437692	1.617894556423119
-0.03928015747509821	1.5894294530818334
-0.5079624137971024	-0.7099361271458393
-0.4874752049097273	-0.6112456638921169
-0.3452605852107941	-0.591144544594114
-0.47242210869600126	-0.535947723521468
-0.3806240283529045	-1.0419839107822066
0.4635693769087091	-0.8940199010607974
-0.6230155633045926	-0.9565860434227582
-0.6217413332794803	-0.935716624487773
-0.2911216578450745	0.3352117185113606
-0.23918526674323584	0.55328850474687
-0.4373514148618821	-0.9941147531063433
-0.3117365758036014	-0.23923526382611643
-0.26435104918004365	0.4317250362426196
-0.4043490217705742	-0.27609658506962526
0.2969461400002899	1.810042790938556
-0.4587722075087276	-0.33990935944831024
-0.5763678404497825	-0.9180788882555785
-0.5312799809868348	-0.6000857413343559
-0.6133121368695054	-0.9621170585382776
0.8567354760797264	-0.3405423573730265
-0.443788416145439	-0.9812574453347161
-0.6530693573838442	-0.9925119803433164
-0.12289938203920307	-1.0471862662369014
-0.5246458128974358	-0.828581577429295
0.26838656168814645	2.27052744562656
-0.5333486808580556	-0.9853764326979264
-0.2830459641256501	0.22487770700694112
-0.4908121892649855	-0.43322730076323396
0.40566714158079825	0.377280109417987
-0.28028838203535567	0.005275134019165167
-0.5856288644152247	-0.9994089977192572
0.5782644915147365	2.1570146074683363
-0.12843845744427	-0.26353941176338114
-0.5786653941163884	-0.7418869124265437
-0.2659640900458725	-0.8969197926547611
0.04378040179196354	-1.1953063594440716
-0.2550897125041243	-0.6413696241392456
-0.3894461253410658	-0.07651675699158658
-0.4064621241007093	-0.596681957811009
-0.5174716769618202	-0.8808434737129843
-0.5622061935420265	-0.7449465350600908
-0.10808003650580017	-0.4318874994328669
-0.6247015999072116	-0.9593204158034945
0.5821918567790103	-0.4280907821319282
-0.6059527689335142	-0.8652150544480431
-0.608562480705049	-0.937075296064845
0.6208138570219157	4.279941696814991
-0.4818888477332415	-0.6334982863174872
0.27485231735865684	1.6334945893615154
0.3882342341776802	0.7361126501631488
-0.4192613760560891	-0.6463137281216726
-0.5106068638850587	-0.5303575670100228
-0.5069951269822524	-0.75635827073391
-0.16785000446033438	0.3400026528672433
-0.39192467355591243	-0.6036183260244179
-0.18061076216817776	0.9208808759207174
-0.49577560251408126	-0.809490667187526
-0.3802162564901279	-0.10098073069452569
-0.570498042872627	-0.830120015098925
-0.09447710747654917	-0.7905073401147754
-0.3899675247492543	0.023043465386691536
-0.571254361650932	-0.8698339305319135
0.3172926929681422	3.2985461829518776
-0.08244660576310511	1.1025063256007017
-0.47375661642862477	-0.999765611446952
0.08043085215724818	1.2142540706744007
-0.5970857269961795	-0.9916761168590232
-0.4924351757471455	-0.5779761447747385
-0.37539911656980696	-0.9060561105474639
-0.4654203576028544	-0.4126125129260644
-0.5462769213847991	-0.9272305958375566
-0.15649188516060328	0.28297508264749954
-0.6315852213774641	-1.0113147180811444
-0.5768359111753841	-0.8907869103761672
0.8975148178669186	3.025752925897769
-0.5469925277680968	-0.9516420170261433
-0.5746019000241461	-1.0251428616596723
-0.3603264854272049	-0.40174297425600397
0.8736889570789251	-0.6137541683599701
-0.4425015289829252	-1.013648561575786
-0.5485699674576374	-0.9007034180940043
0.580763297587858	3.8979568518743792
-0.080342737991212	0.7224282677482443
-0.48609218561359946	-0.9621733384577655
-0.3360745013445407	-0.008785624040622901
-0.5111459493703373	-0.8019963356327844
-0.5977699648666135	-0.9409966294184238
0.6485890115593227	3.99009702028863
-0.3006938009044729	-0.9888832246894559
-0.47788825305873406	-0.7719258724368003
-0.3435300685852333	0.07192446703233522
-0.5524399371097285	-0.7677046607761491
0.18300463223272634	2.0293898247091837
0.465016887890532	3.170133667113152
-0.3818041829110775	-0.0038156771037355535
-0.48588937967741164	-0.6557977692509305
-0.020052333364886057	0.2315081138284414
-0.3765629917112809	-1.0008913456768456
-0.4565181797681318	-0.9340993234557461
0.6610686712847649	-0.7459230870692326
-0.5372062508029783	-0.8013869354759171
0.019961137825099024	1.4407008763787508
0.6053868687891412	-1.3439313631399519
-0.5880615993864037	-0.8399287136761675
-0.5484083937186278	-1.0070174727114132
-0.6088806384410416	-0.9652800251562996
-0.6314483969089187	-0.9824983480198204
2.92252660586372	-0.9996619958052742
-0.44043026203271324	-1.038392864609511
-0.2916559829024107	0.6144291717512552
0.28268118565103084	1.5386758641430227
0.4999380894526417	-0.6267743866635983
-0.5605048905239739	-0.9991889728323277
2.299212557722168	-1.8250335215589755
-0.534794642148447	-0.8497004288881911
0.2376259709736429	0.3583953589549651
-0.24692702399723598	-0.38248418427944836
0.1900027294668279	-0.9149072995566666
-0.45651575423985175	-0.3423511289934309
0.10035336559138151	-0.1980177239230454
