,media_viewers,pico_viewers,desvio_viewers,frequencia,crescimento_medio,volatilidade,tempo_horas,quantidade_categorias,game_id
count,12325.0,12325.0,12325.0,12325.0,12325.0,12325.0,12325.0,12325.0,12325.0
mean,934.7837878494241,1650.0646653144017,308.0631298115137,41.09070993914807,6.251166002460241,206.152163890893,10.272677484787017,1.7686815415821502,233283470.51464504
std,2642.7068489258004,7860.563907494533,1911.332592277896,52.52840732068857,136.24089386506117,956.5009776003055,13.132101830172143,1.7633321861803106,551966122.1836407
min,156.16666666666666,159.0,0.0,3.0,-5116.833333333333,0.0,0.75,1.0,55.0
25%,300.72727272727275,387.0,37.45649328072357,8.0,-3.58,31.116019454079712,2.0,1.0,32982.0
50%,452.10526315789474,636.0,89.74593769822306,20.0,0.9230769230769232,67.9133902218743,5.0,1.0,509658.0
75%,773.875,1294.0,236.31196501816152,56.0,7.333333333333333,165.9893802596249,14.0,2.0,516575.0
max,135138.5,651622.0,162332.77117239538,543.0,8601.4,64315.45066624551,135.75,47.0,2147355120.0
