user_name	media_viewers	pico_viewers	desvio_viewers	frequencia	crescimento_medio	volatilidade	tempo_horas	quantidade_categorias	language	game_id	cluster
0800cats	3175.5625	3345	115.02461693046416	16	22.466666666666665	111.29938176356768	4.0	3	es	1535635666.0	0
0_eto_panica	235.75	241	4.112987559751024	4	-1.3333333333333333	9.073771725877464	1.0	1	ru	32982.0	0
0akling	302.85714285714283	346	25.39309992516715	7	6.666666666666667	26.402020124730356	1.75	1	en	982017546.0	0
0f9v	208.72727272727272	213	5.873117272241931	22	1.2857142857142858	5.640415384906126	5.5	3	en	32982.0	0
0uahleouff	1465.2028985507247	4026	940.689618432546	69	-0.9852941176470588	429.2003148044866	17.25	1	fr	491168.0	0
11mazy11	326.4	335	8.080841540334776	5	-0.75	13.744695946679457	1.25	1	ru	32982.0	0
12gram	243.0	256	18.35755975068582	3	17.0	16.97056274847714	0.75	1	ru	27103.0	0
130kg	187.8	203	13.47961423780369	5	5.75	12.945398152754256	1.25	1	ru	18122.0	0
16Karino4ka	427.7	451	22.578505018908785	10	-4.777777777777778	33.37580627407291	2.5	1	ru	32982.0	0
17baby17lol	780.1489361702128	1197	204.3642292705976	47	-2.869565217391304	135.44980352648105	11.75	3	zh	21779.0	0
1800johan	218.0	237	12.103718436910205	5	-7.25	10.404326023342406	1.25	2	en	516575.0	0
1BladeZ	276.0	332	49.51767361255979	3	10.0	118.79393923933998	0.75	2	pt	516575.0	0
1Poxe	200.95454545454547	220	10.719262913213646	22	1.5238095238095235	5.446274392821644	5.5	2	en	32982.0	0
1_tysav	159.75	163	2.753785273643047	4	1.0	4.358898943540674	1.0	1	en	32982.0	0
1breakfest1	409.125	555	88.27749807661444	16	16.266666666666666	48.78299859972685	4.0	2	en	518203.0	0
1eolevrai	375.1666666666667	709	173.2921425416244	6	-94.4	124.31532487991976	1.5	1	fr	23020.0	0
1h1perZ	495.25	541	54.32234040122596	4	-25.33333333333333	77.02164198024691	1.0	1	pt	516575.0	0
1indio	242.90277777777777	339	43.61456008410732	72	-0.5352112676056338	24.5355898854329	18.0	2	pt	19619.0	0
1jdab1	489.3888888888889	1236	340.2169289294093	36	1.3428571428571427	156.03052922559792	9.0	3	en	509658.0	0
1kenzooooo	170.33333333333334	172	0.8876253645985988	12	0.0909090909090909	1.300349603340998	3.0	1	en	32982.0	0
1lizardx	631.0909090909091	975	261.1055168109071	11	-36.9	298.08963976182287	2.75	1	en	7802.0	0
1microwavemax	214.5625	219	2.435457167125548	32	0.1290322580645161	2.617147753870881	8.0	1	en	509658.0	0
1possessed	381.4634146341463	644	66.74694658221289	41	2.075	84.2938655492247	10.25	1	ru	29595.0	0
1uke337	414.0	481	29.750630245425057	21	-0.9	38.74328464731866	5.25	2	ru	516575.0	0
1v1rocket	525.3333333333334	591	58.44940832321004	3	-56.0	41.01219330881976	0.75	1	en	491487.0	0
1zerona	226.11111111111111	403	84.79747113629693	9	-28.875	37.15387885922161	2.25	1	en	516575.0	0
20asker01	466.4	474	4.277849927241495	5	2.5	4.358898943540673	1.25	1	ru	32399.0	0
20cmustuyum	394.0	427	31.05908348078975	4	15.333333333333334	53.4072404579504	1.0	1	en	29452.0	0
2164896374g	1536.0	2616	810.313519571283	8	102.14285714285714	1143.941640203064	2.0	1	en	512710.0	0
21mustard	333.0	415	46.98510402244524	6	-5.8	60.01416499460773	1.5	1	en	27471.0	0
23DOTATV	486.6382978723405	847	151.83316049212897	94	2.5161290322580645	137.4536770115051	23.5	1	vi	29595.0	0
23FPSTV	920.2033898305084	2501	667.0281175808733	59	34.77586206896552	329.1952464485651	14.75	1	vi	32399.0	0
247Jynxzi	1086.5659722222222	6947	1122.8195326719135	288	-22.13240418118467	598.0922963851388	72.0	1	en	499973.0	0
2BISHOP	428.0	518	83.22559702399256	5	-55.75	45.65358693465389	1.25	1	ru	12839.0	0
2Bough	434.25	502	54.98105734402228	4	-22.0	81.95730595865142	1.0	1	de	509658.0	0
2Rage4K	428.1538461538461	1748	388.2064082219861	26	-63.52	132.66754187316002	6.5	1	en	65632.0	0
2TwistedTV	924.8317757009346	1511	337.3461769928966	107	11.028301886792454	167.7546086257668	26.75	2	de	491931.0	0
2aaaaaaa2	325.0	357	28.583211855912904	3	27.5	19.091883092036785	0.75	1	th	32982.0	0
2old4stream	272.4375	327	36.704166430166126	16	6.533333333333333	19.36442491738271	4.0	1	fr	490377.0	0
2s_Company	462.1111111111111	665	108.25022453145814	9	-41.0	35.31086437425658	2.25	2	en	518762.0	0
2xBrando	286.6666666666667	368	72.95432360959379	3	-70.5	45.96194077712559	0.75	1	en	33214.0	0
2xRaKai	21415.453608247422	153379	19445.230320816365	97	3.052083333333333	19452.88836968882	24.25	4	en	509658.0	2
31manlol	457.0	522	65.15110641168472	4	39.66666666666666	60.14427099344819	1.0	1	en	32399.0	0
357broadway	659.1363636363636	747	82.56402474333589	44	-8.930232558139535	88.94069595839508	11.0	1	en	509658.0	0
360Chrism	499.8095238095238	622	67.72878959565249	63	3.161290322580645	44.601769261528105	15.75	11	en	6086.0	0
39daph	2229.8205128205127	4132	943.3170507708734	78	36.76623376623377	771.1722262433016	19.5	6	en	229772247.0	0
3MGLIVE	243.66666666666663	401	44.19080570929826	84	0.3373493975903614	33.991490006891844	21.0	4	en	1991115310.0	0
3XA_LOL	250.875	335	60.60239269203816	16	10.066666666666666	33.236096269539466	4.0	1	fr	21779.0	0
3llebelle	341.6363636363636	384	36.489101735374994	11	2.0	25.89723279940671	2.75	2	en	1116590313.0	0
40taoGames	267.2	420	93.66269267963632	5	52.0	128.96252685696467	1.25	3	pt	10389.0	0
44pakii	322.5	397	44.47427951593525	14	-6.076923076923077	48.01815895828983	3.5	2	it	32982.0	0
456david_ru	885.5	926	50.28916384272063	4	38.0	46.604720790924176	1.0	1	ru	828723661.0	0
4GAARD	1841.0	3749	931.5403015078484	16	-1.5333333333333334	577.2572918139543	4.0	1	en	1669431183.0	0
4LaNlol	230.8	244	11.819475453673912	5	-7.75	4.99165971062398	1.25	1	pt	21779.0	0
4Rovs	170.33333333333334	178	5.16397779494322	6	0.2	8.34865258589672	1.5	1	ru	32982.0	0
4Suvy	310.86	484	56.79286028711561	50	-2.163265306122449	27.85778387540867	12.5	2	en	32982.0	0
4amLaundry	333.97058823529414	451	44.262773883791134	68	1.8059701492537317	38.88648546341088	17.0	1	en	509672.0	0
4buseer	793.4	828	31.26979373133121	5	7.5	58.47221562417487	1.25	1	other	509658.0	0
4dr4dr	490.9166666666667	656	105.05736528202104	36	0.7428571428571429	104.1312358791265	9.0	1	pt	29595.0	0
4fungamingg	386.3518518518519	468	39.55991749204789	54	-2.056603773584906	26.16693090255745	13.5	2	es	31339.0	0
4kDEO	239.84	423	77.83994261731355	25	0.4583333333333333	64.19195342142169	6.25	2	en	464339927.0	0
4rufq	510.9344262295082	2056	361.22138395522416	122	-0.1322314049586777	151.1908254573648	30.5	1	ja	511224.0	0
4時17分	207.54545454545453	310	48.66770443061245	22	-1.0	30.25557799811466	5.5	2	ja	516575.0	0
5Misha	287.57142857142856	319	20.452034477912324	7	-0.8333333333333334	25.88757745843876	1.75	1	ru	29595.0	0
5ive	188.2	253	25.147145908997725	20	-1.263157894736842	27.14537428419877	5.0	1	en	509658.0	0
5kMar	231.4	237	3.5071355833500344	5	1.0	5.715476066494082	1.25	1	en	2112738408.0	0
5opka	3388.333333333333	4736	786.483015285984	21	-105.95	819.0846286845873	5.25	3	ru	27471.0	0
5up	554.0	613	68.2993411388426	6	32.6	57.756384928421554	1.5	1	en	510218.0	0
664days	207.33333333333331	232	32.129944496269104	3	-30.5	24.748737341529164	0.75	1	ru	32982.0	0
666dope	1917.8	1973	78.5060507222214	5	15.0	114.0	1.25	1	en	498566.0	0
66Samus	318.27272727272725	400	44.71261770259243	11	1.3	49.935625225550815	2.75	1	en	26936.0	0
6Cyx	508.5857142857143	1263	173.28597338338892	140	0.4316546762589928	109.58313966102102	35.0	1	en	515025.0	0
6ara6asha	572.6666666666666	680	141.73684536257088	3	-107.0	227.6883835420683	0.75	1	ru	509658.0	0
6elle	346.35714285714283	446	48.131158988834514	28	1.5555555555555556	59.13240250185194	7.0	4	en	505015.0	0
6kirpich7	268.8888888888889	289	7.331550585444277	18	-0.5294117647058824	8.25467781820423	4.5	2	ru	32982.0	0
6kodak9	1658.982456140351	2833	433.9558688568323	57	7.642857142857143	368.56253588386176	14.25	2	ru	509672.0	0
6pek	458.0	603	90.858375752841	46	4.977777777777778	81.48772603864643	11.5	1	en	21779.0	0
6u3HecByMaaH	255.0	279	22.3308456325923	4	17.333333333333332	4.163331998932265	1.0	1	ru	32399.0	0
