,media_viewers,pico_viewers,desvio_viewers,frequencia,crescimento_medio,volatilidade,tempo_horas,quantidade_categorias
media_viewers,1.0,0.7748315031011062,0.7539356353424422,0.1282192363085032,0.331067295090348,0.8062620575013929,0.1282192363085032,0.10908242433065121
pico_viewers,0.7748315031011062,1.0,0.9585348087907428,0.12571189622804238,0.1961937764956042,0.9267948496610675,0.12571189622804238,0.07390126344329213
desvio_viewers,0.7539356353424422,0.9585348087907428,1.0,0.0903631247060738,0.25023272158734233,0.944814988706452,0.0903631247060738,0.05163768831873979
frequencia,0.1282192363085032,0.12571189622804238,0.0903631247060738,1.0,-0.005628038445378559,0.07631931297402213,1.0,0.363664174511279
crescimento_medio,0.331067295090348,0.1961937764956042,0.25023272158734233,-0.005628038445378559,1.0,0.28534834451924085,-0.00562803844537856,-0.005197774510040641
volatilidade,0.8062620575013929,0.9267948496610675,0.944814988706452,0.07631931297402213,0.28534834451924085,1.0,0.07631931297402213,0.054501509702601605
tempo_horas,0.1282192363085032,0.12571189622804238,0.0903631247060738,1.0,-0.00562803844537856,0.07631931297402213,1.0,0.363664174511279
quantidade_categorias,0.10908242433065121,0.07390126344329213,0.05163768831873979,0.363664174511279,-0.005197774510040641,0.054501509702601605,0.363664174511279,1.0
