	agurin	alois_nl	azzapp	caedrel	drututt	keshaeuw	lol_nemesis	mooda	nickich	thebausffs	ashswag	boosfer	conix	feinberg	flowtives	forsen	maxggs	princezam	theobaldthebird	xaryu	arrowcs	augcs2	eslcs	fl0m	juanflatroo	mathg	ohnepixel	psp1g	smooyacs	xqc	angryginge13	arky	dannyaarons	hasanabi	itskatchii	jasontheween	joe_bartolozzi	lacy	vedal987	zackrawrr	florescent	foolish	gofns	joshseki	s0mcs	shanks_ttv	sliggytv	subroza	temet	valkyrae	Total
happying	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
wideravetime	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
astralis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	15	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
team	0	0	3	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	3	0	0	0	3	0	4	1	0	0	0	0	0	0	0	0	5	0	1	1	0	1	0	0	30
soyscream	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29
unc	0	0	0	0	0	0	0	0	1	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	2	2	0	0	0	0	1	0	28
aras	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27
gonna	0	0	0	2	2	1	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	1	0	0	0	1	0	1	1	1	2	0	1	2	1	1	26
people	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2	1	0	0	2	12	0	0	0	0	0	0	0	1	2	0	24
win	0	0	3	0	1	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	1	2	1	1	1	0	0	0	0	0	0	3	0	0	0	2	0	0	0	0	0	1	0	23
mexico	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	3	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	23
pisstime	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23
son	0	0	0	0	0	0	0	3	9	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	1	0	0	2	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	22
yo	0	0	0	0	0	0	0	0	2	0	0	0	2	0	1	0	0	2	0	0	4	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	1	2	0	2	0	0	0	0	2	1	0	22
xqcmom	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22
kekw	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	3	4	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	1	0	0	0	0	0	0	2	1	0	0	21
lmfao	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	1	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	6	1	0	0	0	0	0	0	0	0	2	0	2	0	0	21
holy	2	0	6	0	1	0	0	0	0	0	2	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	1	21
spun	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21
slot	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21
duckass	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	21
juanddlost	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	21
machine	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21
