game_id	homem	mulher	marca	outro	nao identificado
509658	10	10	1	0	0
21779	7	1	0	0	0
32399	4	0	1	0	0
32982	2	0	0	0	0
516575	10	3	0	0	0
509672	5	2	0	0	0
29595	0	0	0	0	0
33214	0	0	0	0	0
515025	1	1	0	0	0
27471	3	0	0	0	0
